scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
280	60.0	0.75	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
281	120.0	0.75	10.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
282	60.0	0.25	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
283	120.0	0.25	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
284	60.0	0.5	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
285	120.0	0.5	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
286	60.0	0.75	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
287	120.0	0.75	15.0	0.8	5.0	0.75	0.005	0.2	2.0	5.0
288	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
289	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
290	60.0	0.5	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
291	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
292	60.0	0.75	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
293	120.0	0.75	10.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
294	60.0	0.25	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
295	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
296	60.0	0.5	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
297	120.0	0.5	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
298	60.0	0.75	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
299	120.0	0.75	15.0	0.5	0.3	0.5	0.001	0.5	2.0	5.0
300	60.0	0.25	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
301	120.0	0.25	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
302	60.0	0.5	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
303	120.0	0.5	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
304	60.0	0.75	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
305	120.0	0.75	10.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
306	60.0	0.25	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
307	120.0	0.25	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
308	60.0	0.5	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
309	120.0	0.5	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
310	60.0	0.75	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
311	120.0	0.75	15.0	0.8	0.3	0.5	0.001	0.5	2.0	5.0
312	60.0	0.25	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
313	120.0	0.25	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
314	60.0	0.5	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
315	120.0	0.5	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
316	60.0	0.75	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
317	120.0	0.75	10.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
318	60.0	0.25	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
319	120.0	0.25	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
320	60.0	0.5	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
321	120.0	0.5	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
322	60.0	0.75	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
323	120.0	0.75	15.0	0.5	5.0	0.75	0.001	0.5	2.0	5.0
324	60.0	0.25	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
325	120.0	0.25	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
326	60.0	0.5	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
327	120.0	0.5	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
328	60.0	0.75	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
329	120.0	0.75	10.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
330	60.0	0.25	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
331	120.0	0.25	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
332	60.0	0.5	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
333	120.0	0.5	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
334	60.0	0.75	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
335	120.0	0.75	15.0	0.8	5.0	0.75	0.001	0.5	2.0	5.0
336	60.0	0.25	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
337	120.0	0.25	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
338	60.0	0.5	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
339	120.0	0.5	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
340	60.0	0.75	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
341	120.0	0.75	10.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
342	60.0	0.25	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
343	120.0	0.25	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
344	60.0	0.5	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
345	120.0	0.5	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
346	60.0	0.75	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
347	120.0	0.75	15.0	0.5	0.3	0.5	0.003	0.5	2.0	5.0
348	60.0	0.25	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
349	120.0	0.25	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
350	60.0	0.5	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
351	120.0	0.5	10.0	0.8	0.3	0.5	0.003	0.5	2.0	5.0
